"msa","county","nblock","lag.max","lag","nozero","pop.adj","area.adj","pop","area"
"Boston","33017",77,10,2,852,1451179,10787917228.1291,129124,989092891.273438
"Boston","33017",77,10,3,1144,1988099,14219253443.321,129124,989092891.273438
"Boston","33017",77,10,4,1172,1952671,14822128228.5497,129124,989092891.273438
"Boston","33017",77,10,5,1088,1786744,13898998469.1257,129124,989092891.273438
"Boston","33017",77,10,6,776,1307599,9943092480.80291,129124,989092891.273438
"Boston","33017",77,10,7,312,482153,4709699689.04043,129124,989092891.273438
"Boston","33017",77,10,8,70,104810,1294662944.39478,129124,989092891.273438
"Boston","33017",77,10,9,18,23001,319907781.533919,129124,989092891.273438
"Boston","33017",77,10,10,2,2524,31074694.2168661,129124,989092891.273438
"Boston","25021",474,20,1,2734,4229660,7260261624.06329,700437,1149039215.92587
"Boston","25021",474,20,2,6014,9325611,16166973748.9391,700437,1149039215.92587
"Boston","25021",474,20,3,9516,14616802,25269729157.1258,700437,1149039215.92587
"Boston","25021",474,20,4,12426,18817684,31745990162.6151,700437,1149039215.92587
"Boston","25021",474,20,5,14896,22241212,36305086056.7526,700437,1149039215.92587
"Boston","25021",474,20,6,16674,24651762,38694010842.436,700437,1149039215.92587
"Boston","25021",474,20,7,17188,25318292,40320660874.0067,700437,1149039215.92587
