"msa","pop_total","area_km2","avg_density","mean_cbg_area_km2","median_cbg_area_km2","n_cbg","radial_slope","radial_r2","compactness","poly_gini","rank_size_slope","county"
"New York",2287388,460.541095821187,4966.74025565814,0.263769241592891,0.105171729672406,1746,-7.53671981153668e-05,0.0670668144177938,0.296072738147629,0.459192225927404,1.6592874836983,"36081"
"New York",930390,637.449023147088,1459.55200528297,0.805877399680262,0.391785038385851,791,-5.83713935877703e-05,0.0677720139375814,0.461877803212392,0.37104351057945,1.32481275394894,"34003"
"New York",2589974,250.467265103028,10340.5688521198,0.120128184701692,0.0581142713337711,2085,-6.23872367061097e-05,0.0294006139709718,0.61281786210305,0.594789874084039,2.08255720364806,"36047"
"New York",1631993,87.1243160556943,18731.7740199733,0.0744652273980293,0.0359521465325433,1170,-1.38780620122773e-05,0.00182206442136886,0.307932565632614,0.502767100601394,1.95715788173363,"36061"
"New York",503637,513.158550269624,981.445207792755,1.40591383635513,0.322089195427973,365,-0.000127831068349573,0.349691720606869,0.28615737690381,0.143561424926892,0.852424374519422,"34031"
"New York",324422,515.377657478223,629.484020683819,2.53880619447401,1.22566462996394,203,-0.000152300545305951,0.213721512729171,0.609335692459969,0.316253450815407,2.15130002989192,"36087"
"New York",124823,1131.57200250716,110.309374678268,14.3236962342678,11.3367394898454,79,-4.31040219644124e-05,0.0343203064793472,0.487193264056702,NA,NA,"34019"
"New York",55453,1466.1276013753,37.8227651863196,34.0959907296582,29.173120117552,43,-2.42616174783432e-06,0.00020745146909496,0.382282037504666,NA,NA,"42103"
"New York",1435068,148.406885939096,9669.82085042156,0.128602154193324,0.0488748673019577,1154,-0.00022728992898774,0.120660722989292,0.581068263774601,0.481012491929793,5.6911490243988,"36005"
"Philadelphia",506738,588.420344074652,861.183684593527,1.54036739286558,0.664756977920685,382,-6.45942985419417e-05,0.0918666612036388,0.323835867470359,0.351346959620228,1.15512640673142,"34007"
"Philadelphia",102552,1081.15761503528,94.8538849228323,18.9676774567593,14.4978321846831,57,-7.82436623460814e-05,0.140956627051677,0.59171824629465,NA,NA,"24015"
"Philadelphia",556165,1278.30021439627,435.081676226326,3.47364188694638,0.931218018579421,368,-6.0193498033938e-05,0.104694954011171,0.473268360299783,NA,NA,"10003"
"Philadelphia",1579075,369.217476925435,4276.81542366127,0.276360386920236,0.124675644805346,1336,-3.7032998972886e-05,0.0265876666133639,0.323852205623687,0.462645737425458,1.01371799943013,"42101"
"Philadelphia",445702,2122.05642119013,210.033058286939,7.605936993513,1.49740843820813,279,-8.11407230544097e-05,0.166638994471632,0.463854632639947,0.172567183667708,0.523588514176541,"34005"
"Philadelphia",519560,1964.33983811987,264.495984817621,7.41260316271647,3.18206339740679,265,-3.77251331977954e-05,0.0594927296946294,0.38548372962402,0.160326031271133,0.616969119897833,"42029"
"Philadelphia",291165,871.354345107413,334.15223282568,4.56206463407022,1.58018240379436,191,-8.91450286771497e-05,0.19652858920625,0.372541641588879,0.21725204476826,0.271172628003722,"34015"
"Philadelphia",823823,1260.44132974703,653.598847131854,2.25078808883398,1.01494330034227,560,-1.19448296199053e-05,0.00861973612499964,0.407617361215445,0.330252772742026,1.2021738643263,"42091"
"Philadelphia",564554,493.147637690259,1144.79712940365,1.12848429677405,0.457270506543685,437,-8.16949690187597e-05,0.0752509208773642,0.422319203670705,0.373744005675423,1.52174157768257,"42045"
"Philadelphia",626806,1608.78063684571,389.615579429747,4.22252135655043,1.5443220203501,381,-3.18930067980303e-05,0.0621007099465845,0.490187166313778,0.450070701438746,1.77137542635034,"42017"
"Philadelphia",62990,963.9762491608,65.3439335822191,19.279524983216,5.00413580728515,50,-1.68428999461851e-05,0.00269471771650531,0.28579987497885,NA,NA,"34033"
"San Francisco",874961,600.264427473631,1457.62593942557,1.03315736226098,0.127436968448724,581,-0.000137615185225725,0.0572366604815901,0.292839077259664,0.302477448127072,2.02244346854843,"06075"
"San Francisco",259943,2143.69178385744,121.259502862043,12.2496673363283,1.19194999450566,175,-0.00012383222624949,0.257231219528293,0.495406976094657,0.328693508959777,0.866757706467686,"06041"
