"model","period","value","msa","metric"
"power","before",0.491043602993754,"Seattle","PCC"
"homo","during",0.064163625197117,"Seattle","PCC"
"exp","during",0.490136306941235,"Seattle","PCC"
"power","during",0.499389783775625,"Seattle","PCC"
"homo","before",0.0479821671367672,"Washington, D.C.","PCC"
"exp","before",0.558715392055933,"Washington, D.C.","PCC"
"power","before",0.568243856728436,"Washington, D.C.","PCC"
"homo","during",0.0553657571207366,"Washington, D.C.","PCC"
"exp","during",0.541531772865913,"Washington, D.C.","PCC"
"power","during",0.546209350883669,"Washington, D.C.","PCC"
"homo","before",-0.08686572056992,"Atlanta","SRC"
"exp","before",0.665810236924394,"Atlanta","SRC"
"power","before",0.672928729580392,"Atlanta","SRC"
"homo","during",-0.0403554050793269,"Atlanta","SRC"
"exp","during",0.714707593416967,"Atlanta","SRC"
"power","during",0.71559969941307,"Atlanta","SRC"
"homo","before",-0.0665822844578271,"Boston","SRC"
"exp","before",0.501746861713009,"Boston","SRC"
"power","before",0.553860519814644,"Boston","SRC"
"homo","during",-0.136298905378089,"Boston","SRC"
"exp","during",0.574175066925311,"Boston","SRC"
"power","during",0.595655995444945,"Boston","SRC"
"homo","before",-0.0961669896622133,"Chicago","SRC"
"exp","before",0.620362104830785,"Chicago","SRC"
"power","before",0.630734942496178,"Chicago","SRC"
"homo","during",-0.0338156488040346,"Chicago","SRC"
"exp","during",0.65144771464887,"Chicago","SRC"
"power","during",0.663230251305617,"Chicago","SRC"
"homo","before",-0.0942785773213362,"Dallas","SRC"
"exp","before",0.676331328596358,"Dallas","SRC"
"power","before",0.683017802530872,"Dallas","SRC"
"homo","during",-0.0571267466176288,"Dallas","SRC"
"exp","during",0.722670490355924,"Dallas","SRC"
"power","during",0.722851567332672,"Dallas","SRC"
"homo","before",-0.0925860568442687,"Houston","SRC"
"exp","before",0.688671448945897,"Houston","SRC"
"power","before",0.69752186738363,"Houston","SRC"
"homo","during",-0.0464800320698978,"Houston","SRC"
"exp","during",0.718289088289653,"Houston","SRC"
"power","during",0.721798255269126,"Houston","SRC"
"homo","before",-0.0768837578603057,"Los Angeles","SRC"
"exp","before",0.570499245675663,"Los Angeles","SRC"
"power","before",0.585230397266095,"Los Angeles","SRC"
"homo","during",-0.0495161497842721,"Los Angeles","SRC"
"exp","during",0.582494839287109,"Los Angeles","SRC"
"power","during",0.594394873258666,"Los Angeles","SRC"
"homo","before",-0.110506192909768,"Miami","SRC"
"exp","before",0.592479661554921,"Miami","SRC"
"power","before",0.603313887954586,"Miami","SRC"
"homo","during",-0.047239434605983,"Miami","SRC"
"exp","during",0.611789721834408,"Miami","SRC"
"power","during",0.621351867233822,"Miami","SRC"
"homo","before",-0.0498431675630966,"New York","SRC"
"exp","before",0.556749030392891,"New York","SRC"
"power","before",0.572000340738612,"New York","SRC"
"homo","during",-0.0555229041397248,"New York","SRC"
"exp","during",0.515286880078231,"New York","SRC"
"power","during",0.582170947647668,"New York","SRC"
"homo","before",-0.0927020217275752,"Philadelphia","SRC"
"exp","before",0.614897010373789,"Philadelphia","SRC"
"power","before",0.621324686452658,"Philadelphia","SRC"
"homo","during",-0.0497772614983927,"Philadelphia","SRC"
"exp","during",0.640546280842591,"Philadelphia","SRC"
"power","during",0.640934756174657,"Philadelphia","SRC"
"homo","before",-0.0617042411780199,"San Francisco","SRC"
"exp","before",0.58439647974817,"San Francisco","SRC"
"power","before",0.613775681473818,"San Francisco","SRC"
"homo","during",-0.0685987558901198,"San Francisco","SRC"
"exp","during",0.444379860482238,"San Francisco","SRC"
"power","during",0.651531307302541,"San Francisco","SRC"
"homo","before",-0.0841101910356146,"Seattle","SRC"
"exp","before",0.484422930403093,"Seattle","SRC"
"power","before",0.546893855250019,"Seattle","SRC"
"homo","during",-0.0532695124486879,"Seattle","SRC"
"exp","during",0.569701895575612,"Seattle","SRC"
"power","during",0.577021197606236,"Seattle","SRC"
"homo","before",-0.0736065475281267,"Washington, D.C.","SRC"
"exp","before",0.530277992138788,"Washington, D.C.","SRC"
"power","before",0.540850039723789,"Washington, D.C.","SRC"
"homo","during",-0.0859695320746404,"Washington, D.C.","SRC"
"exp","during",0.58362414027113,"Washington, D.C.","SRC"
"power","during",0.586034431018419,"Washington, D.C.","SRC"
