"msa","day","rho","county","pop","area","median_rho","model"
"Atlanta","2020-02-10",0.476422104455105,"13117",0.228383,640.192543405307,0.476422104455105,0.449235477803799
"Boston","2020-02-14",0.395395568533592,"25025",0.796605,310.836427143774,0.395395568533592,0.408136797940409
"Boston","2020-02-12",0.437616145630163,"25017",1.600842,2190.06377053994,0.437616145630163,0.433825763073956
"Boston","2020-02-11",0.456620094072961,"33015",0.306359,2056.06327823136,0.456620094072961,0.468730270078836
"Boston","2020-02-13",0.408175284308897,"25009",0.783676,2142.17565382741,0.408175284308897,0.448685776079144
"Boston","2020-02-10",0.468503311631587,"33017",0.129124,989.092891273438,0.468503311631587,0.471755667355201
"Boston","2020-02-10",0.441700949270915,"25021",0.700437,1149.03921592587,0.441700949270915,0.43767561679525
"Boston","2020-02-12",0.424181781013519,"25023",0.515303,2827.3012708862,0.424181781013519,0.464157784009701
"Chicago","2020-02-11",0.530703838004346,"18073",0.033447,1452.11002192164,0.530703838004346,0.513305989934398
"Chicago","2020-02-15",0.607598473858656,"18111",0.013992,1043.55292260533,0.607598473858656,0.526999844451371
"Chicago","2020-02-10",0.444161835767987,"18089",0.485707,1620.75157482985,0.444161835767987,0.453061536509222
"Chicago","2020-02-13",0.46989449659713,"17093",0.126054,833.465604916257,0.46989449659713,0.468390365715421
"Chicago","2020-02-12",0.432479580728522,"55059",0.168524,1949.68416244319,0.432479580728522,0.481316060180763
"Chicago","2020-02-12",0.424455479024496,"17031",5.198275,4227.62718290808,0.424455479024496,0.422985045251107
"Chicago","2020-02-12",0.464366553525935,"17037",0.104366,1641.30121805283,0.464366553525935,0.488559776342834
"Chicago","2020-02-11",0.448307687171326,"18127",0.168636,1349.56401007906,0.448307687171326,0.47276166847474
"Chicago","2020-02-15",0.441348010591616,"17089",0.531376,1355.94510518855,0.441348010591616,0.447186303849979
"Chicago","2020-02-11",0.489083116410266,"17063",0.050666,1113.3445494648,0.489083116410266,0.496577296980141
"Chicago","2020-02-12",0.420974015348515,"17197",0.689315,2196.43075552843,0.420974015348515,0.452045326743217
"Chicago","2020-02-12",0.444793846106412,"17043",0.92906,869.820558409551,0.444793846106412,0.425892849932179
"Chicago","2020-02-10",0.431004463588231,"17097",0.701473,3538.45342250416,0.431004463588231,0.462263178810104
"Chicago","2020-02-11",0.451990607879526,"17111",0.307714,1579.64228045707,0.451990607879526,0.46265742397387
"Dallas","2020-02-10",0.506953140828528,"48397",0.097175,385.485114218461,0.506953140828528,0.456890271366411
"Dallas","2020-02-12",0.480825636838325,"48367",0.133811,2358.43765651348,0.480825636838325,0.491276985782364
"Dallas","2020-02-10",0.483405550923588,"48257",0.123804,2092.96159066544,0.483405550923588,0.490281409272865
"Dallas","2020-02-10",0.47246380326863,"48251",0.167212,1903.43962812167,0.47246380326863,0.480937065962095
"Dallas","2020-02-11",0.438553568763377,"48439",2.04977,2338.22994694376,0.438553568763377,0.430006462246255
"Dallas","2020-02-12",0.491542681505472,"48497",0.06629,2390.49980245527,0.491542681505472,0.50869146580808
"Dallas","2020-02-16",0.454690063315182,"48139",0.173772,2466.60325957463,0.454690063315182,0.486129495125384
"Dallas","2020-02-13",0.472616681641287,"48231",0.094162,2285.52288431841,0.472616681641287,0.498986410018039
"Dallas","2020-02-11",0.437333850411322,"48085",0.973977,2296.17742566423,0.437333850411322,0.445466941020125
"Dallas","2020-02-12",0.446559312678456,"48121",0.833822,2469.15205157583,0.446559312678456,0.450436361934818
"Dallas","2020-02-12",0.437785994473409,"48113",2.606868,2354.62481006839,0.437785994473409,0.425149925116971
"Houston","2020-02-11",0.401788102696338,"48157",0.765394,2295.86094014153,0.401788102696338,0.450718355708708
"Houston","2020-02-12",0.584006450388565,"48473",0.051832,1342.67248224757,0.584006450388565,0.500568928719007
"Houston","2020-02-10",0.447547644657294,"48167",0.332885,2265.96786882086,0.447547644657294,0.469053546674677
"Houston","2020-02-12",0.439333517872524,"48201",4.64663,4608.97052190071,0.439333517872524,0.427091253493423
"Houston","2020-02-14",0.476238708858811,"48291",0.083702,3050.07568264063,0.476238708858811,0.508949942103896
"Houston","2020-02-11",0.331163679986733,"48071",0.041305,2259.04940165939,0.331163679986733,0.519105642334824
"Houston","2020-02-13",0.424240079489793,"48039",0.360677,4171.66839859826,0.424240079489793,0.481310065059691
"Houston","2020-02-13",0.527619376490832,"48015",0.029764,1701.97421164277,0.527619376490832,0.520231586662603
"Houston","2020-02-13",0.460497613503103,"48339",0.571949,2792.09410660639,0.460497613503103,0.461526789775843
"Los Angeles","2020-02-10",0.413272800571949,"6037",10.08157,12308.4217931546,0.413272800571949,0.431429658107139
"Los Angeles","2020-02-11",0.407783898641418,"6059",3.168044,2456.19269192041,0.407783898641418,0.422002069031734
"Miami","2020-02-14",0.419619951096821,"12011",1.926205,3432.51009551463,0.419619951096821,0.439441711925064
"Miami","2020-02-13",0.395918643520835,"12099",1.465027,6183.4870515564,0.395918643520835,0.458271121713266
"Miami","2020-02-12",0.40355218482768,"12086",2.699428,6309.19044512838,0.40355218482768,0.445279578317634
"New York","2020-02-12",0.455305489438857,"34037",0.141483,1384.95491450004,0.455305489438857,0.477418472140494
"New York","2020-02-15",0.336268182561827,"36103",1.483832,6138.55400460356,0.336268182561827,0.457824315393184
"New York","2020-02-14",0.442744110778324,"34039",0.554033,272.881198014641,0.442744110778324,0.412788340518599
"New York","2020-02-13",0.432681006015281,"36059",1.356509,1173.03238179515,0.432681006015281,0.424249883636518
"New York","2020-02-15",0.439520037248576,"34023",0.82592,835.367628585598,0.439520037248576,0.427496922832842
"New York","2020-02-11",0.429342577817039,"36119",0.96889,1293.26530533,0.429342577817039,0.433306236687087
"New York","2020-02-15",0.424189512134659,"34017",0.670046,161.401219166508,0.424189512134659,0.398669159456474
"New York","2020-02-15",0.378458767589783,"36085",0.474893,264.610564696554,0.378458767589783,0.415273458368504
"New York","2020-02-15",0.464335801051027,"36079",0.098787,636.901469087332,0.464335801051027,0.467815637660627
"New York","2020-02-12",0.428527617391965,"34025",0.621659,1721.63171120954,0.428527617391965,0.44897087181992
"New York","2020-02-10",0.457597368191026,"34035",0.329838,788.888626714581,0.457597368191026,0.44577939622043
"New York","2020-02-14",0.387317214859876,"34029",0.596415,2366.98123572888,0.387317214859876,0.456900160947734
"New York","2020-02-12",0.456353906028073,"34027",0.493379,1245.64291358523,0.456353906028073,0.446954528663554
"New York","2020-02-14",0.445678807803269,"34013",0.795404,334.706593161952,0.445678807803269,0.409638831351441
"New York","2020-02-11",0.369335823678314,"36081",2.287388,460.541095821187,0.369335823678314,0.395205972043229
"New York","2020-02-11",0.45074687067715,"34003",0.93039,637.449023147088,0.45074687067715,0.419471169060372
"New York","2020-02-16",0.398079998968292,"36047",2.589974,250.467265103028,0.398079998968292,0.381353185526654
"New York","2020-02-15",0.352945775237862,"36061",1.631993,87.1243160556943,0.352945775237862,0.370486211012482
"New York","2020-02-14",0.437209992525989,"34031",0.503637,513.158550269624,0.437209992525989,0.427649943489606
"New York","2020-02-16",0.440653365586719,"36087",0.324422,515.377657478223,0.440653365586719,0.436992069954408
"New York","2020-02-13",0.472018106438757,"34019",0.124823,1131.57200250716,0.472018106438757,0.475638269674733
"New York","2020-02-15",0.476431886816885,"42103",0.055453,1466.1276013753,0.476431886816885,0.501066889085832
"New York","2020-02-10",0.359756561082031,"36005",1.435068,148.406885939095,0.359756561082031,0.382599659241555
"Philadelphia","2020-02-15",0.44886215398165,"34007",0.506738,588.420344074652,0.44886215398165,0.430378652953167
"Philadelphia","2020-02-13",0.472170622033141,"24015",0.102552,1081.15761503528,0.472170622033141,0.479144656475886
"Philadelphia","2020-02-14",0.423092498284016,"10003",0.556165,1278.30021439627,0.423092498284016,0.444916904250255
"Philadelphia","2020-02-15",0.428586543882324,"42101",1.579075,369.217476925435,0.428586543882324,0.398092369612942
"Philadelphia","2020-02-12",0.342101933924341,"34005",0.445702,2122.05642119013,0.342101933924341,0.460965554788452
"Philadelphia","2020-02-13",0.447519180791551,"42029",0.51956,1964.33983811987,0.447519180791551,0.455823092051849
"Philadelphia","2020-02-15",0.445158838062414,"34015",0.291165,871.354345107413,0.445158838062414,0.450667613791936
"Philadelphia","2020-02-13",0.431992447866943,"42091",0.823823,1260.44132974703,0.431992447866943,0.436193455133407
"Philadelphia","2020-02-13",0.446643285460616,"42045",0.564554,493.147637690259,0.446643285460616,0.424458322906798
