"msa","day","rho","county","median_day","median_rho","pop","area"
"New York","2020-02-13",0.439663374421982,"36119","2020-02-13",0.439663374421982,0.96889,1293.26530533
"New York","2020-02-11",0.443068840495752,"34017","2020-02-11",0.443068840495752,0.670046,161.401219166508
"New York","2020-02-16",0.392740020826185,"36085","2020-02-16",0.392740020826185,0.474893,264.610564696554
"New York","2020-02-13",0.474756088606923,"36079","2020-02-13",0.474756088606923,0.098787,636.901469087332
"New York","2020-02-12",0.440625921293412,"34025","2020-02-12",0.440625921293412,0.621659,1721.63171120954
"New York","2020-02-12",0.462187571284901,"34035","2020-02-12",0.462187571284901,0.329838,788.888626714581
"New York","2020-02-13",0.402500475639068,"34029","2020-02-13",0.402500475639068,0.596415,2366.98123572888
"New York","2020-02-11",0.460669485660046,"34027","2020-02-11",0.460669485660046,0.493379,1245.64291358523
"New York","2020-02-15",0.455874988218367,"34013","2020-02-15",0.455874988218367,0.795404,334.706593161952
"New York","2020-02-13",0.40379248960083,"36081","2020-02-13",0.40379248960083,2.287388,460.541095821187
"New York","2020-02-10",0.455172089840174,"34003","2020-02-10",0.455172089840174,0.93039,637.449023147088
"New York","2020-02-14",0.414337125544618,"36047","2020-02-14",0.414337125544618,2.589974,250.467265103028
"New York","2020-02-14",0.374995426909675,"36061","2020-02-14",0.374995426909675,1.631993,87.1243160556943
"New York","2020-02-13",0.445137160618787,"34031","2020-02-13",0.445137160618787,0.503637,513.158550269624
"New York","2020-02-14",0.452376972106428,"36087","2020-02-14",0.452376972106428,0.324422,515.377657478223
"New York","2020-02-13",0.475784081935406,"34019","2020-02-13",0.475784081935406,0.124823,1131.57200250716
"New York","2020-02-15",0.498176469804374,"42103","2020-02-15",0.498176469804374,0.055453,1466.1276013753
"New York","2020-02-13",0.403584444827223,"36005","2020-02-13",0.403584444827223,1.435068,148.406885939095
"Philadelphia","2020-02-15",0.457156959451846,"34007","2020-02-15",0.457156959451846,0.506738,588.420344074652
