"msa","nblock","lag.max","lag","nozero","pop.adj","area.adj","pop","area"
"San Francisco",2903,21,7,968348,1567569514,3121053524613.12,4701332,8868771896.82383
"San Francisco",2903,21,8,1083178,1749283052,3022021500654.79,4701332,8868771896.82383
"San Francisco",2903,21,9,1096956,1769727155,2732109682742.66,4701332,8868771896.82383
"San Francisco",2903,21,10,1014542,1639201450,2283444145765.9,4701332,8868771896.82383
"San Francisco",2903,21,11,851986,1378854542,1747925578674.32,4701332,8868771896.82383
"San Francisco",2903,21,12,655036,1056205952,1182558182753,4701332,8868771896.82383
"San Francisco",2903,21,13,470476,751417469,694968140463.709,4701332,8868771896.82383
"San Francisco",2903,21,14,308810,486481827,356893323003.595,4701332,8868771896.82383
"San Francisco",2903,21,15,174992,272638825,154950229181.504,4701332,8868771896.82383
"San Francisco",2903,21,16,83298,127768043,58414119005.7274,4701332,8868771896.82383
"San Francisco",2903,21,17,33506,50503716,19263869715.7725,4701332,8868771896.82383
"San Francisco",2903,21,18,10600,15542587,5254051840.13469,4701332,8868771896.82383
"San Francisco",2903,21,19,2548,3583356,1241618792.15503,4701332,8868771896.82383
"San Francisco",2903,21,20,326,431125,138932542.137846,4701332,8868771896.82383
"San Francisco",2903,21,21,4,5538,591259.166545038,4701332,8868771896.82383
"Seattle",2483,22,1,15754,24976710,128317859013.516,3871323,16293293394.1709
"Seattle",2483,22,2,42012,65787136,382600025221.783,3871323,16293293394.1709
"Seattle",2483,22,3,88288,135508734,733444564334.982,3871323,16293293394.1709
"Seattle",2483,22,4,157924,239693760,1148261633375.11,3871323,16293293394.1709
"Seattle",2483,22,5,244752,371641738,1658804583379.95,3871323,16293293394.1709
"Seattle",2483,22,6,337844,514950812,2272081961616.89,3871323,16293293394.1709
"Seattle",2483,22,7,426916,653324302,2915704686332.63,3871323,16293293394.1709
"Seattle",2483,22,8,503078,772470922,3664991571513.68,3871323,16293293394.1709
"Seattle",2483,22,9,563566,869257388,4336512802256.79,3871323,16293293394.1709
"Seattle",2483,22,10,611216,948734194,4826982576179.21,3871323,16293293394.1709
"Seattle",2483,22,11,642868,1005704556,4866473914727.01,3871323,16293293394.1709
"Seattle",2483,22,12,643620,1014981599,4412153165487.59,3871323,16293293394.1709
