"model","day","error","msa"
"power","2020-02-15",762.011986117894,"New York"
"power","2020-02-16",711.167371150929,"New York"
"power","2020-03-30",477.492706016807,"New York"
"power","2020-03-31",468.093492655475,"New York"
"power","2020-04-01",536.612525800621,"New York"
"power","2020-04-02",532.915601856468,"New York"
"power","2020-04-03",522.510033977124,"New York"
"power","2020-04-04",515.610311872208,"New York"
"power","2020-04-05",480.721525003162,"New York"
"homo","2020-02-10",73.1261397526854,"Philadelphia"
"homo","2020-02-11",73.0034641556631,"Philadelphia"
"homo","2020-02-12",74.9356337750847,"Philadelphia"
"homo","2020-02-13",76.410508342243,"Philadelphia"
"homo","2020-02-14",79.5261961002206,"Philadelphia"
"homo","2020-02-15",72.1300392822235,"Philadelphia"
"homo","2020-02-16",68.6215872797385,"Philadelphia"
"homo","2020-03-30",46.8465262391858,"Philadelphia"
"homo","2020-03-31",45.2715703359622,"Philadelphia"
"homo","2020-04-01",52.5710889628042,"Philadelphia"
"homo","2020-04-02",53.7531710520039,"Philadelphia"
"homo","2020-04-03",53.503156083578,"Philadelphia"
"homo","2020-04-04",52.3131416507574,"Philadelphia"
"homo","2020-04-05",49.5959550730648,"Philadelphia"
"exp","2020-02-10",63.7644026433762,"Philadelphia"
"exp","2020-02-11",64.2373531377436,"Philadelphia"
"exp","2020-02-12",65.7250631205691,"Philadelphia"
"exp","2020-02-13",67.3812131239593,"Philadelphia"
"exp","2020-02-14",69.314698804283,"Philadelphia"
"exp","2020-02-15",61.9378836613873,"Philadelphia"
"exp","2020-02-16",58.7091584743559,"Philadelphia"
"exp","2020-03-30",40.6702342744419,"Philadelphia"
"exp","2020-03-31",39.7463269585861,"Philadelphia"
"exp","2020-04-01",50.4849383016605,"Philadelphia"
"exp","2020-04-02",51.3503911994603,"Philadelphia"
"exp","2020-04-03",51.579429363644,"Philadelphia"
"exp","2020-04-04",49.8339785298222,"Philadelphia"
"exp","2020-04-05",47.5083412730612,"Philadelphia"
"power","2020-02-10",763.386273960713,"Philadelphia"
"power","2020-02-11",751.572667670851,"Philadelphia"
"power","2020-02-12",766.91616203348,"Philadelphia"
"power","2020-02-13",783.2614783779,"Philadelphia"
"power","2020-02-14",808.598484648383,"Philadelphia"
"power","2020-02-15",722.509985342308,"Philadelphia"
"power","2020-02-16",677.574074065397,"Philadelphia"
"power","2020-03-30",480.237967366695,"Philadelphia"
"power","2020-03-31",466.49436639521,"Philadelphia"
"power","2020-04-01",571.116881594764,"Philadelphia"
"power","2020-04-02",569.702967963418,"Philadelphia"
"power","2020-04-03",577.24069924076,"Philadelphia"
"power","2020-04-04",551.438902214606,"Philadelphia"
"power","2020-04-05",518.961858772764,"Philadelphia"
"homo","2020-02-10",70.6780436167762,"San Francisco"
"homo","2020-02-11",70.5520061630294,"San Francisco"
"homo","2020-02-12",72.7667390144256,"San Francisco"
"homo","2020-02-13",73.3409075372339,"San Francisco"
"homo","2020-02-14",75.4660572420209,"San Francisco"
"homo","2020-02-15",66.8918720732425,"San Francisco"
"homo","2020-02-16",62.9586808143354,"San Francisco"
"homo","2020-03-30",42.1240093257006,"San Francisco"
"homo","2020-03-31",42.0802608948062,"San Francisco"
"homo","2020-04-01",47.8383101553888,"San Francisco"
"homo","2020-04-02",47.9820320775153,"San Francisco"
"homo","2020-04-03",49.919260145639,"San Francisco"
"homo","2020-04-04",45.4155051370216,"San Francisco"
"homo","2020-04-05",42.4949709675472,"San Francisco"
"exp","2020-02-10",71.4928271305293,"San Francisco"
"exp","2020-02-11",70.3088935134908,"San Francisco"
"exp","2020-02-12",74.1089725989718,"San Francisco"
"exp","2020-02-13",74.2109934277087,"San Francisco"
"exp","2020-02-14",75.5975739790688,"San Francisco"
"exp","2020-02-15",65.5673182352465,"San Francisco"
"exp","2020-02-16",61.2888784919291,"San Francisco"
"exp","2020-03-30",39.9529998124108,"San Francisco"
"exp","2020-03-31",40.1672829790719,"San Francisco"
"exp","2020-04-01",45.8693167130771,"San Francisco"
"exp","2020-04-02",45.9336474390635,"San Francisco"
"exp","2020-04-03",49.1432627252566,"San Francisco"
