"msa","day","pairs_ratio","corr_value","corr_name"
"Boston",2020-02-16,3.42486103198255e-07,-0.14268601005357,"log_pearson"
"Boston",2020-02-16,3.42486103198255e-07,-0.14679241048318,"log_spearman"
"Boston",2020-02-16,3.42486103198255e-07,-0.223077886953023,"log_pearson_adjusted"
"Boston",2020-02-16,3.42486103198255e-07,-0.232549736095888,"log_spearman_adjusted"
"Boston",2020-03-30,3.42486103198255e-07,-0.0462927236850154,"pearson"
"Boston",2020-03-30,3.42486103198255e-07,-0.0124322141330497,"spearman"
"Boston",2020-03-30,3.42486103198255e-07,-0.0450498147810779,"pearson_adjusted"
"Boston",2020-03-30,3.42486103198255e-07,-0.215285683559663,"spearman_adjusted"
"Boston",2020-03-30,3.42486103198255e-07,-0.0224752213144828,"log_pearson"
"Boston",2020-03-30,3.42486103198255e-07,-0.0124322141330497,"log_spearman"
"Boston",2020-03-30,3.42486103198255e-07,-0.2008045566548,"log_pearson_adjusted"
"Boston",2020-03-30,3.42486103198255e-07,-0.215285793916787,"log_spearman_adjusted"
"Boston",2020-03-31,3.42486103198255e-07,-0.0431334818038938,"pearson"
"Boston",2020-03-31,3.42486103198255e-07,-0.00363717442083278,"spearman"
"Boston",2020-03-31,3.42486103198255e-07,-0.00561786894962975,"pearson_adjusted"
"Boston",2020-03-31,3.42486103198255e-07,-0.212090712653847,"spearman_adjusted"
"Boston",2020-03-31,3.42486103198255e-07,-0.00950576456365302,"log_pearson"
"Boston",2020-03-31,3.42486103198255e-07,-0.00363717442083278,"log_spearman"
"Boston",2020-03-31,3.42486103198255e-07,-0.186039863594423,"log_pearson_adjusted"
"Boston",2020-03-31,3.42486103198255e-07,-0.212090787064378,"log_spearman_adjusted"
"Boston",2020-04-01,3.42486103198255e-07,-0.0599454289788063,"pearson"
"Boston",2020-04-01,3.42486103198255e-07,-0.0509780273238986,"spearman"
"Boston",2020-04-01,3.42486103198255e-07,-0.0221561515365196,"pearson_adjusted"
"Boston",2020-04-01,3.42486103198255e-07,-0.244758231110409,"spearman_adjusted"
"Boston",2020-04-01,3.42486103198255e-07,-0.035578758932001,"log_pearson"
"Boston",2020-04-01,3.42486103198255e-07,-0.0509780273238986,"log_spearman"
"Boston",2020-04-01,3.42486103198255e-07,-0.220307447242633,"log_pearson_adjusted"
"Boston",2020-04-01,3.42486103198255e-07,-0.244758120840398,"log_spearman_adjusted"
"Boston",2020-04-02,3.42486103198255e-07,-0.0394398624058762,"pearson"
"Boston",2020-04-02,3.42486103198255e-07,-0.0187057328335869,"spearman"
"Boston",2020-04-02,3.42486103198255e-07,-0.00274137091971727,"pearson_adjusted"
"Boston",2020-04-02,3.42486103198255e-07,-0.208564439282703,"spearman_adjusted"
"Boston",2020-04-02,3.42486103198255e-07,-0.00376653311376057,"log_pearson"
"Boston",2020-04-02,3.42486103198255e-07,-0.0187057328335869,"log_spearman"
"Boston",2020-04-02,3.42486103198255e-07,-0.176355172432995,"log_pearson_adjusted"
"Boston",2020-04-02,3.42486103198255e-07,-0.20856458800268,"log_spearman_adjusted"
"Boston",2020-04-03,3.42486103198255e-07,-0.0420202997826807,"pearson"
"Boston",2020-04-03,3.42486103198255e-07,-0.0121902885471459,"spearman"
"Boston",2020-04-03,3.42486103198255e-07,-0.0107236927616003,"pearson_adjusted"
"Boston",2020-04-03,3.42486103198255e-07,-0.202014872424218,"spearman_adjusted"
"Boston",2020-04-03,3.42486103198255e-07,0.000552481790200088,"log_pearson"
"Boston",2020-04-03,3.42486103198255e-07,-0.0121902885471459,"log_spearman"
"Boston",2020-04-03,3.42486103198255e-07,-0.174564297870531,"log_pearson_adjusted"
"Boston",2020-04-03,3.42486103198255e-07,-0.202015059215305,"log_spearman_adjusted"
