"msa","county","day","empirical","model"
"Atlanta","msa","2020-02-14",3,30.7907552914809
"Atlanta","msa","2020-02-14",431,371.801436863575
"Atlanta","msa","2020-02-14",190,85.0091690085749
"Atlanta","msa","2020-02-14",111,138.589469631088
"Atlanta","msa","2020-02-14",274,121.920606596413
"Atlanta","msa","2020-02-14",951,122.622322390201
"Atlanta","msa","2020-02-14",431,178.311491791612
"Atlanta","msa","2020-02-14",541,243.195656004749
"Atlanta","msa","2020-02-14",1205,188.556224064853
"Atlanta","msa","2020-02-14",229,199.457957275025
"Atlanta","msa","2020-02-14",263,142.309914167759
"Atlanta","msa","2020-02-14",339,145.210474750572
"Atlanta","msa","2020-02-14",185,55.5005750276727
"Atlanta","msa","2020-02-14",264,188.941367304135
"Atlanta","msa","2020-02-14",156,82.3382098579261
"Atlanta","msa","2020-02-14",148,74.7923669165013
"Atlanta","msa","2020-02-14",309,133.572249795715
"Atlanta","msa","2020-02-14",131,170.263467901071
"Atlanta","msa","2020-02-14",73,47.0120514533398
"Atlanta","msa","2020-02-14",805,370.559919443777
"Atlanta","msa","2020-02-14",441,261.267299932195
"Atlanta","msa","2020-02-14",563,212.020065157079
"Atlanta","msa","2020-02-14",262,177.843112423578
"Atlanta","msa","2020-02-14",268,70.0711005723029
"Atlanta","msa","2020-02-14",216,132.059852659901
"Atlanta","msa","2020-02-14",500,97.7159817212943
"Atlanta","msa","2020-02-14",248,93.3305537470768
"Atlanta","msa","2020-02-14",653,227.941775792545
"Atlanta","msa","2020-02-14",1698,324.211603137865
"Atlanta","msa","2020-02-14",689,410.013092490955
"Atlanta","msa","2020-02-14",215,241.04324016128
"Atlanta","msa","2020-02-14",1826,298.116381210917
"Atlanta","msa","2020-02-14",377,269.140350897975
"Atlanta","msa","2020-02-14",147,110.881888336224
"Atlanta","msa","2020-02-14",491,183.388459199325
"Atlanta","msa","2020-02-14",409,131.323951112569
"Atlanta","msa","2020-02-14",257,121.584581379943
"Atlanta","msa","2020-02-14",506,243.247311149253
"Atlanta","msa","2020-02-14",949,249.605378014018
"Atlanta","msa","2020-02-14",91,131.116192901239
"Atlanta","msa","2020-02-14",531,256.403703426088
"Atlanta","msa","2020-02-14",454,320.168651007205
"Atlanta","msa","2020-02-14",612,199.325550950435
"Atlanta","msa","2020-02-14",663,356.26409778971
"Atlanta","msa","2020-02-14",80,98.8987722336032
"Atlanta","msa","2020-02-14",148,219.872262968465
"Atlanta","msa","2020-02-14",1407,464.937451954033
"Atlanta","msa","2020-02-14",395,230.171555618217
"Atlanta","msa","2020-02-14",116,114.654742771371
"Atlanta","msa","2020-02-14",1128,696.901192247977
"Atlanta","msa","2020-02-14",481,333.400766560403
"Atlanta","msa","2020-02-14",197,430.684850561479
"Atlanta","msa","2020-02-14",295,125.67153814738
"Atlanta","msa","2020-02-14",141,88.6402119020225
"Atlanta","msa","2020-02-14",291,263.918884479176
"Atlanta","msa","2020-02-14",334,160.390120948762
"Atlanta","msa","2020-02-14",94,177.206394545353
"Atlanta","msa","2020-02-14",333,260.463516636967
"Atlanta","msa","2020-02-14",273,124.082756447726
"Atlanta","msa","2020-02-14",551,282.769661663553
"Atlanta","msa","2020-02-14",572,283.082727275951
