"urban_fips","urban_name","total_population","male_population","female_population","age_under_18","age_65_and_over","white_population","black_population","asian_population","hispanic_population","median_household_income","per_capita_income","poverty_population","total_housing_units","owner_occupied_housing_units","renter_occupied_housing_units","median_home_value","high_school_graduate","bachelors_degree","graduate_or_professional_degree","mean_commute_time","car_commute","public_transit_commute","walk_commute","work_from_home","families_with_children","single_parent_families","broadband_internet"
"89515","Union City, IN--OH Urban Cluster (2010)",5219,2415,2804,172,13,4689,60,30,947,31271,16575,1482,2777,1331,848,52600,1267,88,0,2016,1929,7,68,27,685,325,1636
"89542","Union City, PA Urban Cluster (2010)",3248,1313,1935,104,23,3207,0,0,36,47566,23715,830,1449,875,508,84400,907,229,12,1397,1257,11,129,18,447,117,1037
"89569","Union City, TN Urban Cluster (2010)",9512,4237,5275,285,91,6635,2180,10,526,26940,19033,2638,4707,2018,2095,91600,2010,652,0,3602,3411,24,112,54,1211,406,3209
"89596","Union Grove, WI Urban Cluster (2010)",7101,3214,3887,112,65,6544,228,19,319,68750,30861,1166,2583,1564,794,169600,1611,782,0,3363,3189,21,120,44,846,247,1954
"89623","Union Springs, AL Urban Cluster (2010)",3892,2267,1625,0,64,303,3579,9,31,21095,13563,1897,1764,750,639,73800,740,114,17,1345,1214,0,131,1,551,266,778
"89650","Uniontown--Connellsville, PA Urbanized Area (2010)",50588,24278,26310,1455,736,45496,2881,280,617,43559,28698,8474,24808,15341,6700,1e+05,15509,4600,346,20286,19583,99,534,680,5374,1394,16717
"89704","Upland, IN Urban Cluster (2010)",3314,1450,1864,26,53,2931,88,86,39,57740,17698,268,850,486,291,97400,269,215,56,1387,951,21,388,200,258,38,569
"89719","Upper Greenwood Lake, NJ Urban Cluster (2010)",3871,1912,1959,162,19,3264,0,177,369,92194,41714,410,1663,1151,208,245200,941,473,18,2065,1924,130,0,132,437,97,1183
"89731","Upper Sandusky, OH Urban Cluster (2010)",6135,2995,3140,279,71,5947,2,9,329,45101,23348,505,2848,1459,1142,109200,1552,575,11,2979,2765,12,157,6,813,310,2017
"89758","Urbana, OH Urban Cluster (2010)",10722,5134,5588,310,92,9540,500,44,285,45453,23195,1621,5366,2574,2129,110500,2934,820,20,4582,4398,0,144,86,1197,356,3771
"89770","Urban Honolulu, HI Urbanized Area (2010)",837258,420657,416601,27148,9399,153374,21660,385568,83037,83580,36186,70221,302300,147150,122027,649400,137189,132235,8420,409500,332390,37732,23336,15569,86884,11814,232073
"89785","Utica, NY Urbanized Area (2010)",113261,56366,56895,3436,1211,86268,10539,8315,9737,50208,27962,20946,51271,26303,17675,123400,17478,12027,1109,45995,42475,811,2331,1958,12492,4032,35215
"89839","Uvalde, TX Urban Cluster (2010)",18201,8782,9419,723,179,16822,165,230,15324,41310,18513,3647,6480,3899,1596,77200,2228,1304,86,7676,7438,0,88,160,2259,705,3842
"89866","Vacaville, CA Urbanized Area (2010)",98158,50807,47351,2927,1049,64868,9909,7341,24440,86727,35853,6740,34181,20111,12580,421000,14179,10327,291,41791,40302,509,376,2030,11457,2286,30298
"89893","Vado, NM Urban Cluster (2010)",3558,1982,1576,213,0,2771,0,0,3359,35306,12458,1550,1157,738,265,108200,336,134,0,989,958,0,31,51,481,156,463
"89910","Vail, AZ Urban Cluster (2010)",11216,5690,5526,526,45,9491,401,383,2147,95023,35990,515,3835,3197,484,243800,1106,1924,99,4814,4725,15,8,314,1552,112,3486
"93092","Waverly, NE Urban Cluster (2010)",3613,1803,1810,137,26,3565,2,0,124,80104,31802,231,1311,961,299,172500,431,601,25,1791,1781,0,6,47,584,80,1165
"93106","Waverly, TN Urban Cluster (2010)",3072,1607,1465,23,0,2727,266,0,121,36359,21855,653,1736,833,485,97700,1152,132,17,1106,1106,0,0,21,211,61,992
"93133","Waverly City, OH Urban Cluster (2010)",6760,3118,3642,230,80,6430,193,0,4,43327,23865,1226,3441,1405,1492,118900,1482,471,51,2365,2294,21,40,31,763,205,2080
"93187","Waycross, GA Urban Cluster (2010)",23984,12050,11934,779,185,13070,9702,221,750,32415,19397,5787,11811,5405,4168,79300,5323,1635,163,8358,8031,55,181,212,2582,806,6364
"93214","Wayland, MI Urban Cluster (2010)",4431,2076,2355,266,23,4125,82,0,147,54375,25129,382,1844,1123,704,126000,1050,461,5,1966,1855,0,36,120,565,198,1465
"93241","Wayne, NE Urban Cluster (2010)",5203,2510,2693,74,43,4838,131,35,394,39620,23869,752,2099,1039,945,131300,515,627,79,2531,2384,0,147,190,363,43,1753
"93268","Waynesboro, GA Urban Cluster (2010)",5374,2459,2915,341,15,1505,3736,0,131,28158,16559,2089,2223,851,1073,115100,846,351,44,1700,1618,0,45,15,827,362,1435
"93295","Waynesboro, MS Urban Cluster (2010)",4110,1877,2233,171,27,1325,2667,0,115,26114,18173,1859,1950,907,604,88400,870,81,0,1161,966,77,43,28,602,374,927
"93322","Waynesboro, PA--MD Urban Cluster (2010)",26216,12692,13524,899,361,24755,960,103,836,54246,27572,3318,12100,6951,3989,165100,6698,2183,115,11631,11132,5,403,451,3184,896,8998
"93376","Waynesburg, PA Urban Cluster (2010)",8403,5193,3210,147,52,6859,1026,78,416,44978,21285,875,2924,1510,1021,131800,1879,661,22,2665,2332,0,268,77,548,144,2028
"93457","Weatherford, OK Urban Cluster (2010)",11336,5064,6272,378,39,9826,179,122,1715,44080,24760,2541,4761,2133,1960,167200,1038,1208,156,5581,5406,0,175,250,1312,382,3537
"93484","Weatherford, TX Urban Cluster (2010)",41186,19946,21240,1339,396,37291,961,212,5963,72525,34200,3413,15703,9783,4653,191700,5904,4649,303,17958,17628,0,188,854,4459,727,12506
"93511","Webster City, IA Urban Cluster (2010)",7398,3694,3704,291,39,6738,183,277,756,56540,27818,892,3788,2173,1104,95700,1654,851,0,3275,3119,1,140,129,892,106,2395
"93525","Wedgefield, FL Urban Cluster (2010)",6301,2683,3618,82,0,5106,239,213,1939,77885,30099,91,2249,1757,315,251900,922,714,18,2798,2773,0,0,188,795,206,1950
"93565","Weedsport, NY Urban Cluster (2010)",2715,1327,1388,41,20,2580,11,32,110,54801,27686,194,1271,747,402,105100,516,202,7,1295,1251,3,8,20,332,111,885
"93592","Weirton--Steubenville, WV--OH--PA Urbanized Area (2010)",68377,32927,35450,1809,939,61862,4115,415,1161,45151,25206,11703,33578,18714,10322,90300,17537,5663,304,28262,26735,203,1121,1117,6829,1899,22323
"93619","Weiser, ID--OR Urban Cluster (2010)",5377,2648,2729,117,126,4381,2,8,1634,37527,19407,846,2421,1322,801,115100,932,315,39,2031,1807,11,150,94,669,221,1497
"93646","Welch, WV Urban Cluster (2010)",2694,1467,1227,14,28,2238,362,0,4,35872,17864,478,1612,814,230,50000,689,97,4,694,685,4,0,20,265,129,813
"93673","Wellington, CO Urban Cluster (2010)",7920,3925,3995,401,80,7523,93,0,737,91461,33872,551,2710,2439,271,316100,968,1309,44,3865,3701,54,44,181,1183,160,2435
"93700","Wellington, KS Urban Cluster (2010)",7357,3577,3780,196,123,6674,116,0,582,43796,23124,1264,3526,1839,1234,73000,1276,686,16,3082,2977,0,98,99,1025,270,2389
