"msa_fips","msa_name","total_commute","drive_alone","carpool","public_transit","bicycle","walk","other_means","work_at_home"
"24140","Goldsboro, NC Metro Area",53988,50977,44061,258,72,929,230,1522
"24180","Granbury, TX Micro Area",24593,22860,21353,52,0,117,140,1424
"24220","Grand Forks, ND-MN Metro Area",53894,48392,43637,486,324,2128,432,2132
"24260","Grand Island, NE Metro Area",38229,35740,31394,138,107,610,385,1249
"24300","Grand Junction, CO Metro Area",69249,60307,54643,226,521,1904,1329,4962
"24330","Grand Rapids, MN Micro Area",19585,17445,15642,152,39,460,324,1165
"24340","Grand Rapids-Kentwood, MI Metro Area",530337,482336,434179,7525,2531,11768,3934,22243
"24380","Grants, NM Micro Area",9013,7624,6749,22,13,262,456,636
"24420","Grants Pass, OR Metro Area",31519,27637,24844,100,417,1091,458,1816
"24460","Great Bend, KS Micro Area",13091,12121,11038,93,50,248,94,485
"24500","Great Falls, MT Metro Area",38629,35177,31080,296,159,1097,374,1526
"24540","Greeley, CO Metro Area",150170,135219,120732,808,524,2800,1489,9330
"24580","Green Bay, WI Metro Area",166271,152545,139354,1105,351,3002,1504,7764
"24620","Greeneville, TN Micro Area",27695,26129,24292,9,7,232,452,866
"24660","Greensboro-High Point, NC Metro Area",350855,321747,290113,3272,521,4915,3131,17269
"24700","Greensburg, IN Micro Area",13124,12403,10983,72,13,256,95,285
"24740","Greenville, MS Micro Area",16122,15463,13904,15,13,238,216,177
"24780","Greenville, NC Metro Area",83463,76673,68882,1048,180,1034,607,3921
"24820","Greenville, OH Micro Area",24592,22567,20557,114,44,534,293,1040
"24860","Greenville-Anderson, SC Metro Area",415496,384010,344454,1652,734,5871,3779,19450
"24900","Greenwood, MS Micro Area",12639,12010,11233,82,0,104,5,438
"24940","Greenwood, SC Micro Area",29856,28397,25303,157,0,360,236,706
"24980","Grenada, MS Micro Area",8191,7797,7233,21,0,126,169,78
"25020","Guayama, PR Metro Area",16900,15891,14119,111,0,503,64,331
"25060","Gulfport-Biloxi, MS Metro Area",178099,166361,151448,460,297,4555,2384,4042
"25100","Guymon, OK Micro Area",10677,9806,8084,36,7,368,75,385
"25180","Hagerstown-Martinsburg, MD-WV Metro Area",130509,119818,106867,1429,171,1991,1265,5835
"25200","Hailey, ID Micro Area",12643,10451,9637,211,103,367,225,1286
"25220","Hammond, LA Metro Area",56916,53327,45388,177,161,863,499,1889
"25260","Hanford-Corcoran, CA Metro Area",56799,51917,43737,129,403,1096,614,2640
"25300","Hannibal, MO Micro Area",17713,16200,14817,11,4,373,208,917
"25420","Harrisburg-Carlisle, PA Metro Area",285493,253127,228488,3838,1101,9527,3122,14778
"25460","Harrison, AR Micro Area",18637,17346,15395,13,0,326,122,830
"25500","Harrisonburg, VA Metro Area",63596,55363,48379,598,618,3507,733,2777
"25540","Hartford-East Hartford-Middletown, CT Metro Area",606547,538298,491965,16723,1146,14709,5078,30593
"25580","Hastings, NE Micro Area",15485,14281,12818,88,75,295,158,588
"25620","Hattiesburg, MS Metro Area",71530,64758,59586,168,132,1083,4231,1158
"25700","Hays, KS Micro Area",15920,14799,13618,45,9,379,19,669
"25720","Heber, UT Micro Area",37863,31417,27926,502,154,938,629,4223
"25740","Helena, MT Micro Area",39860,35069,30820,165,355,1530,473,2268
"25760","Helena-West Helena, AR Micro Area",6481,6209,5390,0,4,100,74,94
"25780","Henderson, NC Micro Area",18187,17138,14772,13,0,162,157,717
"25820","Hereford, TX Micro Area",8176,7761,7024,83,0,44,27,261
"25840","Hermiston-Pendleton, OR Micro Area",36412,33897,29766,177,185,804,207,1142
"25860","Hickory-Lenoir-Morganton, NC Metro Area",162561,151588,138002,353,79,1415,3598,5528
"25880","Hillsdale, MI Micro Area",18989,16823,15256,47,19,845,203,1052
"25900","Hilo, HI Micro Area",86037,75484,62245,1112,272,1925,958,6286
"25940","Hilton Head Island-Bluffton, SC Metro Area",93573,82438,72594,428,255,1748,1546,7158
"25980","Hinesville, GA Metro Area",34455,31567,27967,186,127,1009,739,827
"26020","Hobbs, NM Micro Area",28672,27541,24172,36,43,287,119,646
"26090","Holland, MI Micro Area",54724,51118,47032,132,86,776,359,2253
"26140","Homosassa Springs, FL Metro Area",45250,40957,37263,137,130,288,1092,2646
"26220","Hood River, OR Micro Area",11481,9221,7821,34,126,897,129,1074
"26260","Hope, AR Micro Area",12162,11584,10136,49,1,185,65,278
"26300","Hot Springs, AR Metro Area",40327,37106,32926,213,5,780,729,1494
"26340","Houghton, MI Micro Area",15468,12675,11261,35,102,1640,175,841
"26380","Houma-Thibodaux, LA Metro Area",88164,80039,72358,392,314,1093,3413,2913
"26420","Houston-The Woodlands-Sugar Land, TX Metro Area",3243744,2937466,2619911,65292,7857,41199,44552,147378
"26460","Hudson, NY Micro Area",28927,24248,21796,765,164,1299,374,2077
"26500","Huntingdon, PA Micro Area",18221,16335,14212,40,2,874,320,650
"26540","Huntington, IN Micro Area",18229,16962,16039,25,15,544,68,615
"26580","Huntington-Ashland, WV-KY-OH Metro Area",140205,130595,118697,821,188,3131,1426,4044
"26620","Huntsville, AL Metro Area",215698,203208,189886,398,188,1774,2156,7974
"26660","Huntsville, TX Micro Area",25989,23278,21433,133,37,983,314,1244
"26700","Huron, SD Micro Area",9858,8742,7745,134,8,324,189,461
"26740","Hutchinson, KS Micro Area",29045,26330,23910,81,334,688,536,1076
"26780","Hutchinson, MN Micro Area",18784,17373,15977,80,96,410,112,713
"26820","Idaho Falls, ID Metro Area",64026,56901,50195,1888,186,1158,634,3259
"26860","Indiana, PA Micro Area",36318,32389,28880,217,165,2088,352,1107
"26900","Indianapolis-Carmel-Anderson, IN Metro Area",999710,914555,831474,8682,2649,15271,9251,49302
"26940","Indianola, MS Micro Area",8067,7519,6524,51,9,211,116,161
"26980","Iowa City, IA Metro Area",93358,74168,65451,4719,1776,7368,1099,4228
"27020","Iron Mountain, MI-WI Micro Area",12907,11979,10786,17,14,209,184,504
"27060","Ithaca, NY Metro Area",49101,34234,29577,3286,737,6855,425,3564
"27100","Jackson, MI Metro Area",67818,63146,57432,260,166,1552,477,2217
"27140","Jackson, MS Metro Area",263461,251322,225141,776,173,2470,1844,6876
"27160","Jackson, OH Micro Area",13156,12196,11086,38,0,500,139,283
"27180","Jackson, TN Metro Area",76317,70806,64518,253,120,874,1869,2395
"27220","Jackson, WY-ID Micro Area",19907,15308,13447,538,504,1618,146,1793
"27260","Jacksonville, FL Metro Area",715164,637608,578889,8678,3462,10817,11967,42632
"27300","Jacksonville, IL Micro Area",17619,15952,14543,119,86,527,189,746
"27340","Jacksonville, NC Metro Area",99236,84536,71067,345,240,8168,1496,4451
"27380","Jacksonville, TX Micro Area",19977,18790,15748,52,69,278,96,692
"27420","Jamestown, ND Micro Area",10501,9590,8542,18,6,336,208,343
"27460","Jamestown-Dunkirk-Fredonia, NY Micro Area",54703,49362,44393,182,219,2190,798,1952
"27500","Janesville-Beloit, WI Metro Area",78443,72975,65109,449,255,1504,789,2471
"27530","Jasper, AL Micro Area",23982,22851,20267,28,13,248,236,606
"27540","Jasper, IN Micro Area",27859,26370,24630,39,30,358,118,944
"27580","Jayuya, PR Micro Area",3137,2787,2596,17,0,246,0,87
"27600","Jefferson, GA Micro Area",30652,28495,25741,132,3,110,335,1577
"27620","Jefferson City, MO Metro Area",71131,66789,59829,230,105,870,1044,2093
"27660","Jennings, LA Micro Area",11975,11299,9874,30,11,173,233,229
"27700","Jesup, GA Micro Area",10630,9860,8772,67,0,16,376,311
"27740","Johnson City, TN Metro Area",88513,81365,76018,385,38,1186,1612,3927
"27780","Johnstown, PA Metro Area",55741,51011,45838,656,83,1442,608,1941
"27860","Jonesboro, AR Metro Area",58262,54904,48628,257,40,1024,232,1805
"27900","Joplin, MO Metro Area",81747,75952,67386,247,177,1179,887,3305
"27940","Juneau, AK Micro Area",17110,14009,11640,747,191,1148,184,831
"27980","Kahului-Wailuku-Lahaina, HI Metro Area",83031,72545,61614,1984,340,2017,1231,4914
"10100","Aberdeen, SD Micro Area",22599,20123,18316,16,129,675,253,1403
"10140","Aberdeen, WA Micro Area",27749,24347,21356,267,138,842,298,1857
"10180","Abilene, TX Metro Area",77559,70475,62273,396,206,1507,710,4265
"10220","Ada, OK Micro Area",17312,16349,14709,123,48,356,156,280
"10300","Adrian, MI Micro Area",43688,40388,36591,150,195,1230,252,1473
