"msa_fips","msa_name","total_commute","under_5_mins","mins_5_to_9","mins_10_to_14","mins_15_to_19","mins_20_to_24","mins_25_to_29","mins_30_to_34","mins_35_to_39","mins_40_to_44","over_60_mins"
"22260","Fergus Falls, MN Micro Area",26143,1981,5022,4656,3612,3042,1309,2275,456,708,1345
"22280","Fernley, NV Micro Area",21560,1076,2602,2416,1773,2488,1093,2841,1433,1125,2363
"22300","Findlay, OH Micro Area",36643,2139,7377,8748,6927,3902,1589,2188,692,736,1290
"22340","Fitzgerald, GA Micro Area",6087,283,1072,1739,1309,469,189,430,205,45,256
"22380","Flagstaff, AZ Metro Area",61906,3612,12678,13272,13514,6337,1638,3926,718,961,2096
"22420","Flint, MI Metro Area",162776,4312,16827,23791,28560,26247,10516,14453,3611,4760,12695
"22500","Florence, SC Metro Area",83059,2059,9635,14801,16033,12342,4743,10085,2096,1749,4550
"22520","Florence-Muscle Shoals, AL Metro Area",60832,1373,7398,10097,11271,8774,3174,6932,1296,1596,4022
"22540","Fond du Lac, WI Metro Area",50963,2967,8899,10761,7522,5931,2980,4194,1299,1462,2506
"22580","Forest City, NC Micro Area",25612,1020,2232,3977,4669,3818,1575,1887,870,668,2514
"22780","Fort Leonard Wood, MO Micro Area",23797,2130,3549,2850,4853,3761,1367,2816,467,428,939
"22800","Fort Madison-Keokuk, IA-IL-MO Micro Area",25489,2348,4469,3769,3431,3073,1620,2699,544,739,1628
"23060","Fort Wayne, IN Metro Area",187968,4885,18940,31441,37208,37199,15741,20215,4017,3950,6635
"23140","Frankfort, IN Micro Area",13868,797,1781,2129,1857,1709,1094,1656,574,451,1243
"23180","Frankfort, KY Micro Area",33497,1034,4779,6409,6155,3569,1876,3145,1047,1234,2754
"23240","Fredericksburg, TX Micro Area",11126,920,2511,2118,1220,1397,350,1284,184,76,320
"23300","Freeport, IL Micro Area",19523,1175,3755,3711,2685,2309,767,1503,517,615,1268
"23340","Fremont, NE Micro Area",17628,1696,3885,3921,1961,1166,732,1342,315,564,1198
"23380","Fremont, OH Micro Area",27099,1605,5073,5361,4284,2672,1722,2498,736,955,1203
"23420","Fresno, CA Metro Area",377688,9855,36389,54978,77245,71528,26713,48456,6508,8661,17458
"23460","Gadsden, AL Metro Area",40256,971,4395,6993,7583,6070,2839,4073,768,775,2539
"23500","Gaffney, SC Micro Area",22411,684,2022,4316,3588,3343,1346,2854,505,1050,1660
